sha256,sha1,md5,dex_date,apk_size,pkg_name,vercode,vt_detection,vt_scan_date,dex_size,markets
000092A8DA744FC82D40AC8A6C9A4089F2FEC279DAC68320A1047948A1F74045,9feef55177e216bb0224071821fb0e2aa405c774,046b40cf02fe0974ff9836a7e18e504e,2012-09-11 08:47:28,9507753,com.papeda,1.0,0.0,2012-10-05 09:50:55,395524,PlayDrone|play.google.com
00056679860B9BCBBC7D1C155FAD49336C7DAE49EEA000B41933AD09A9CECB12,5408bb000099be3c2816f2a3bf83f95b377213c4,26208244e0f73064038665f31676947c,2012-01-16 12:54:18,36432,com.tearn.ks5,72.0,0.0,2013-11-13 19:44:08,5836,play.google.com|PlayDrone
000A43A0491D86D629F18374EE583493BED78724D982794BE0BC9209E3217302,2afcae6e433a243ca3ab908623b8e959392cba7b,2bb8796eea23482bbca2a0281530b2f6,2012-11-01 12:07:34,176341,it.marzoli.app.batterywidget,7.0,0.0,2014-05-27 19:13:11,338856,PlayDrone|play.google.com
000DE4B8FB8C36C93094BBCC227A8D17950CE47306FDCBFB0EA3002895EA25B5,9cf79d8280c6526041984367477d5030018d581d,7ea27f3bf4a167c3897bbca1c8d3a7d5,2012-03-17 12:22:24,747457,jp.co.honest2000.crystalclock,1.0,0.0,2014-05-16 13:49:37,4192,play.google.com|PlayDrone
000DE79044EEEFE9DF798166863BB7C6A281CE8DE93FC451E4427EEEF4F48947,36271b00bb04401945c07fa5715753f98dada281,0d41f60e82364ac17efa253a8a58ff81,2012-04-04 00:04:04,1199966,com.hcm.radio,1.0,0.0,2014-01-15 00:21:13,1542584,play.google.com|PlayDrone
000ED66CA384EDF1F4CE7D853F9ABBEDBC5CE139DDC5023EBAA68249A8C12AFC,f1cb27f632eb8fbe054e42e7af1a6442da802b21,6144c2219f2f97f610a908e5aa787280,2012-01-27 22:19:02,4233354,yaja.antarcticadvanture,4.0,0.0,2014-05-01 16:33:21,132384,play.google.com|PlayDrone
000FE5FAED521B6DE3D5D5D810CA18975C4962D5274FF0B2D441698CA2D59DBC,f84486c82e8173bcc2cc60338e760b100ec1c745,0bf236f18e11ce17d29145b14019468a,2012-07-28 01:21:54,322869,com.cheatingboyfriendcatcherapp,1.0,0.0,2014-05-13 12:46:25,251840,PlayDrone|play.google.com
00109545CA92336E4E19AC5904B2EFEB3809DB0D38CEC3E56903F5E24200D997,5d099c72727b5284a89486f9240136c87d9eb03b,7f7e8cca910a5be9ac0cef70dd75ea7b,2012-10-22 16:52:08,4907629,com.thesocialgamingfactory.justgive,3.0,0.0,2014-04-24 07:11:31,3037940,play.google.com|PlayDrone
00197B732C6EAF598F2AF452C30BB56B884724B5C9839C047B97F544B400B6BC,e557d14e8ac8792efdf9619706e62a079a0875a3,3b7ac0fd87cb479bd5dc392c7b393a33,2012-06-20 11:32:38,1599066,air.mgg1glamorouspartydressup,1000000.0,0.0,2013-05-06 18:28:32,21044,play.google.com
001A77AAB1637E9CFFBDF012A9D1C3F7DD7A610D0D6AB0B2DFEDAF9EC0D2BDDF,3bab8f0de1be76dae2af8839bdf74b5c84578636,f8a221a60b4140f377dae761e40b3d59,2011-10-06 14:21:28,8273119,com.WilliamGolding,3.0,0.0,2013-01-07 05:30:47,155324,PlayDrone|play.google.com
001EA564477BDB3E8E7ABEEF6133470D7BFD91475BC4E39DB7D3B73A0AEDFBD6,19dacf6de8c74894cc441951bc01f379cc4b2533,e9f949a88feae0b363bcfa99c686be0a,2012-07-24 10:31:04,15612106,com.nom.lanefury,3.0,0.0,2013-08-15 12:30:42,941960,play.google.com|1mobile
002318BB7A0BAF49FD803C975B9396510AB050B9326D484916B8CA134461CDD9,2d416cf82e599df83846aba1cea47a5e90ee29dd,cc08589368461e389c81c22b319e8ca1,2012-04-26 11:54:52,507562,com.andromo.dev59159.app61038,9.0,0.0,2014-06-24 06:31:50,200768,PlayDrone|play.google.com
0028870CD1F3980CB98E47F221FA25C6FEA60A9B40E2C9DCCAB5679AE86666EC,596383c38ffd299fcbc2d49d49950f2b29839289,51efcfd578fa6e93951940aa91b88e70,2011-11-04 14:33:42,438754,statsheet.statblogs.FlyersFix,2.0,0.0,2014-01-17 07:18:26,8912,PlayDrone|play.google.com
00299667EFA8E67955CE11F6DA482A02D9386F9F935B55C27C755EE9CB601628,ea07fc4ab472471b4f7f37c8be6a90b1102a7f6e,768a8ea43b4755a39100073de01a6f22,2012-12-08 04:30:48,11405802,com.zodinplex.lullaby.sleep.babies,4.0,0.0,2013-06-19 10:20:38,384888,PlayDrone|play.google.com
